Time,gENSAE.delta,gENSAE.PELEC,gENSAE.PMECH,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.398,36.640793,0.39999998,0.4000000059604645,-4.457814e-10,1.0,0.99199355,1.0,0.9959842
0.4,36.640793,0.39999998,0.4000000059604645,-4.4296103e-10,1.0,0.99199355,1.0,0.9959842
0.402,36.640793,0.39999998,0.4000000059604645,-4.4009932e-10,1.0,0.99199355,1.0,0.9959842
0.404,36.640793,0.39999998,0.4000000059604645,-4.3719672e-10,1.0,0.99199355,1.0,0.9959842
0.406,36.640793,0.39999998,0.4000000059604645,-4.342536e-10,1.0,0.99199355,1.0,0.9959842
0.408,36.640793,0.39999998,0.4000000059604645,-4.3127044e-10,1.0,0.99199355,1.0,0.9959842
0.41,36.640793,0.39999998,0.4000000059604645,-4.282476e-10,1.0,0.99199355,1.0,0.9959842
0.412,36.640793,0.39999998,0.4000000059604645,-4.2518555e-10,1.0,0.99199355,1.0,0.9959842
0.414,36.640793,0.39999998,0.4000000059604645,-4.2208467e-10,1.0,0.99199355,1.0,0.9959842
0.416,36.640793,0.39999998,0.4000000059604645,-4.189454e-10,1.0,0.99199355,1.0,0.9959842
0.418,36.640793,0.39999998,0.4000000059604645,-4.157682e-10,1.0,0.99199355,1.0,0.9959842
0.42,36.640793,0.39999998,0.4000000059604645,-4.125535e-10,1.0,0.99199355,1.0,0.9959842
0.422,36.640793,0.39999998,0.4000000059604645,-4.093017e-10,1.0,0.99199355,1.0,0.9959842
0.424,36.640793,0.39999998,0.4000000059604645,-4.0601328e-10,1.0,0.99199355,1.0,0.9959842
0.426,36.640793,0.39999998,0.4000000059604645,-4.026887e-10,1.0,0.99199355,1.0,0.9959842
0.428,36.640793,0.39999998,0.4000000059604645,-3.9932835e-10,1.0,0.99199355,1.0,0.9959842
0.43,36.640793,0.39999998,0.4000000059604645,-3.9593273e-10,1.0,0.99199355,1.0,0.9959842
0.432,36.640793,0.39999998,0.4000000059604645,-3.9250228e-10,1.0,0.99199355,1.0,0.9959842
0.434,36.640793,0.39999998,0.4000000059604645,-3.8903747e-10,1.0,0.99199355,1.0,0.9959842
0.436,36.640793,0.39999998,0.4000000059604645,-3.8553874e-10,1.0,0.99199355,1.0,0.9959842
0.438,36.640793,0.39999998,0.4000000059604645,-3.820066e-10,1.0,0.99199355,1.0,0.9959842
0.44,36.640793,0.39999998,0.4000000059604645,-3.7844142e-10,1.0,0.99199355,1.0,0.9959842
0.442,36.640793,0.39999998,0.4000000059604645,-3.7484377e-10,1.0,0.99199355,1.0,0.9959842
0.444,36.640793,0.39999998,0.4000000059604645,-3.7121406e-10,1.0,0.99199355,1.0,0.9959842
0.446,36.640793,0.39999998,0.4000000059604645,-3.675528e-10,1.0,0.99199355,1.0,0.9959842
0.448,36.640793,0.39999998,0.4000000059604645,-3.6386044e-10,1.0,0.99199355,1.0,0.9959842
0.45,36.640793,0.39999998,0.4000000059604645,-3.601375e-10,1.0,0.99199355,1.0,0.9959842
0.452,36.640793,0.39999998,0.4000000059604645,-3.563844e-10,1.0,0.99199355,1.0,0.9959842
0.454,36.640793,0.39999998,0.4000000059604645,-3.5260167e-10,1.0,0.99199355,1.0,0.9959842
0.456,36.640793,0.39999998,0.4000000059604645,-3.4878977e-10,1.0,0.99199355,1.0,0.9959842
0.458,36.640793,0.39999998,0.4000000059604645,-3.4494924e-10,1.0,0.99199355,1.0,0.9959842
0.46,36.640793,0.39999998,0.4000000059604645,-3.410805e-10,1.0,0.99199355,1.0,0.9959842
0.462,36.640793,0.39999998,0.4000000059604645,-3.371841e-10,1.0,0.99199355,1.0,0.9959842
0.464,36.640793,0.39999998,0.4000000059604645,-3.3326047e-10,1.0,0.99199355,1.0,0.9959842
0.466,36.640793,0.39999998,0.4000000059604645,-3.2931016e-10,1.0,0.99199355,1.0,0.9959842
0.468,36.640793,0.39999998,0.4000000059604645,-3.2533368e-10,1.0,0.99199355,1.0,0.9959842
0.47,36.640793,0.39999998,0.4000000059604645,-3.213315e-10,1.0,0.99199355,1.0,0.9959842
0.472,36.640793,0.39999998,0.4000000059604645,-3.1730413e-10,1.0,0.99199355,1.0,0.9959842
0.474,36.640793,0.39999998,0.4000000059604645,-3.1325206e-10,1.0,0.99199355,1.0,0.9959842
0.476,36.640793,0.39999998,0.4000000059604645,-3.091758e-10,1.0,0.99199355,1.0,0.9959842
0.478,36.640793,0.39999998,0.4000000059604645,-3.0507588e-10,1.0,0.99199355,1.0,0.9959842
0.48,36.640793,0.39999998,0.4000000059604645,-3.0095282e-10,1.0,0.99199355,1.0,0.9959842
0.482,36.640793,0.39999998,0.4000000059604645,-2.9680708e-10,1.0,0.99199355,1.0,0.9959842
0.484,36.640793,0.39999998,0.4000000059604645,-2.9263922e-10,1.0,0.99199355,1.0,0.9959842
0.486,36.640793,0.39999998,0.4000000059604645,-2.884497e-10,1.0,0.99199355,1.0,0.9959842
0.488,36.640793,0.39999998,0.4000000059604645,-2.842391e-10,1.0,0.99199355,1.0,0.9959842
0.49,36.640793,0.39999998,0.4000000059604645,-2.8000788e-10,1.0,0.99199355,1.0,0.9959842
0.492,36.640793,0.39999998,0.4000000059604645,-2.7575658e-10,1.0,0.99199355,1.0,0.9959842
0.494,36.640793,0.39999998,0.4000000059604645,-2.7148575e-10,1.0,0.99199355,1.0,0.9959842
0.496,36.640793,0.39999998,0.4000000059604645,-2.6719585e-10,1.0,0.99199355,1.0,0.9959842
0.498,36.640793,0.39999998,0.4000000059604645,-2.6288746e-10,1.0,0.99199355,1.0,0.9959842
0.5,36.640793,0.39999998,0.4000000059604645,-2.5856103e-10,1.0,0.99199355,1.0,0.9959842
0.502,36.640793,0.39999998,0.4000000059604645,-2.5421715e-10,1.0,0.99199355,1.0,0.9959842
0.504,36.640793,0.39999998,0.4000000059604645,-2.4985633e-10,1.0,0.99199355,1.0,0.9959842
0.506,36.640793,0.39999998,0.4000000059604645,-2.4547905e-10,1.0,0.99199355,1.0,0.9959842
0.508,36.640793,0.39999998,0.4000000059604645,-2.410859e-10,1.0,0.99199355,1.0,0.9959842
0.51,36.640793,0.39999998,0.4000000059604645,-2.3667734e-10,1.0,0.99199355,1.0,0.9959842
0.512,36.640793,0.39999998,0.4000000059604645,-2.3225395e-10,1.0,0.99199355,1.0,0.9959842
0.514,36.640793,0.39999998,0.4000000059604645,-2.2781622e-10,1.0,0.99199355,1.0,0.9959842
0.516,36.640793,0.39999998,0.4000000059604645,-2.233647e-10,1.0,0.99199355,1.0,0.9959842
0.518,36.640793,0.39999998,0.4000000059604645,-2.1889991e-10,1.0,0.99199355,1.0,0.9959842
0.52,36.640793,0.39999998,0.4000000059604645,-2.1442238e-10,1.0,0.99199355,1.0,0.9959842
0.522,36.640793,0.39999998,0.4000000059604645,-2.0993263e-10,1.0,0.99199355,1.0,0.9959842
0.524,36.640793,0.39999998,0.4000000059604645,-2.054312e-10,1.0,0.99199355,1.0,0.9959842
0.526,36.640793,0.39999998,0.4000000059604645,-2.009186e-10,1.0,0.99199355,1.0,0.9959842
0.528,36.640793,0.39999998,0.4000000059604645,-1.9639539e-10,1.0,0.99199355,1.0,0.9959842
0.53,36.640793,0.39999998,0.4000000059604645,-1.9186207e-10,1.0,0.99199355,1.0,0.9959842
0.532,36.640793,0.39999998,0.4000000059604645,-1.8731917e-10,1.0,0.99199355,1.0,0.9959842
0.534,36.640793,0.39999998,0.4000000059604645,-1.8276725e-10,1.0,0.99199355,1.0,0.9959842
0.536,36.640793,0.39999998,0.4000000059604645,-1.782068e-10,1.0,0.99199355,1.0,0.9959842
0.538,36.640793,0.39999998,0.4000000059604645,-1.7363837e-10,1.0,0.99199355,1.0,0.9959842
0.54,36.640793,0.39999998,0.4000000059604645,-1.6906247e-10,1.0,0.99199355,1.0,0.9959842
0.542,36.640793,0.39999998,0.4000000059604645,-1.6447965e-10,1.0,0.99199355,1.0,0.9959842
0.544,36.640793,0.39999998,0.4000000059604645,-1.5989043e-10,1.0,0.99199355,1.0,0.9959842
0.546,36.640793,0.39999998,0.4000000059604645,-1.5529535e-10,1.0,0.99199355,1.0,0.9959842
0.548,36.640793,0.39999998,0.4000000059604645,-1.506949e-10,1.0,0.99199355,1.0,0.9959842
0.55,36.640793,0.39999998,0.4000000059604645,-1.4608965e-10,1.0,0.99199355,1.0,0.9959842
0.552,36.640793,0.39999998,0.4000000059604645,-1.4148009e-10,1.0,0.99199355,1.0,0.9959842
0.554,36.640793,0.39999998,0.4000000059604645,-1.3686677e-10,1.0,0.99199355,1.0,0.9959842
0.556,36.640793,0.39999998,0.4000000059604645,-1.322502e-10,1.0,0.99199355,1.0,0.9959842
