Time,wT4G1.P,wT4G1.Q,GEN1.V,FAULT.V,GEN2.V
1.90528, 0.015, -0.0566568, 1, 1.0001, 1
1.90533, 0.015, -0.0566568, 1, 1.0001, 1
1.90538, 0.015, -0.0566568, 1, 1.0001, 1
1.90543, 0.015, -0.0566568, 1, 1.0001, 1
1.90548, 0.015, -0.0566568, 1, 1.0001, 1
1.90553, 0.015, -0.0566568, 1, 1.0001, 1
1.90558, 0.015, -0.0566568, 1, 1.0001, 1
1.90563, 0.015, -0.0566568, 1, 1.0001, 1
1.90568, 0.015, -0.0566568, 1, 1.0001, 1
1.90573, 0.015, -0.0566568, 1, 1.0001, 1
1.90578, 0.015, -0.0566568, 1, 1.0001, 1
1.90583, 0.015, -0.0566568, 1, 1.0001, 1
1.90588, 0.015, -0.0566568, 1, 1.0001, 1
1.90593, 0.015, -0.0566568, 1, 1.0001, 1
1.90598, 0.015, -0.0566568, 1, 1.0001, 1
1.90603, 0.015, -0.0566568, 1, 1.0001, 1
1.90608, 0.015, -0.0566568, 1, 1.0001, 1
1.90613, 0.015, -0.0566568, 1, 1.0001, 1
1.90618, 0.015, -0.0566568, 1, 1.0001, 1
1.90623, 0.015, -0.0566568, 1, 1.0001, 1
1.90628, 0.015, -0.0566568, 1, 1.0001, 1
1.90633, 0.015, -0.0566568, 1, 1.0001, 1
1.90638, 0.015, -0.0566568, 1, 1.0001, 1
1.90643, 0.015, -0.0566568, 1, 1.0001, 1
1.90648, 0.015, -0.0566568, 1, 1.0001, 1
1.90653, 0.015, -0.0566568, 1, 1.0001, 1
1.90658, 0.015, -0.0566568, 1, 1.0001, 1
1.90663, 0.015, -0.0566568, 1, 1.0001, 1
1.90668, 0.015, -0.0566568, 1, 1.0001, 1
1.90673, 0.015, -0.0566568, 1, 1.0001, 1
1.90678, 0.015, -0.0566568, 1, 1.0001, 1
1.90683, 0.015, -0.0566568, 1, 1.0001, 1
1.90688, 0.015, -0.0566568, 1, 1.0001, 1
1.90693, 0.015, -0.0566568, 1, 1.0001, 1
1.90698, 0.015, -0.0566568, 1, 1.0001, 1
1.90703, 0.015, -0.0566568, 1, 1.0001, 1
1.90708, 0.015, -0.0566568, 1, 1.0001, 1
1.90713, 0.015, -0.0566568, 1, 1.0001, 1
1.90718, 0.015, -0.0566568, 1, 1.0001, 1
1.90723, 0.015, -0.0566568, 1, 1.0001, 1
1.90728, 0.015, -0.0566568, 1, 1.0001, 1
1.90733, 0.015, -0.0566568, 1, 1.0001, 1
1.90738, 0.015, -0.0566568, 1, 1.0001, 1
1.90743, 0.015, -0.0566568, 1, 1.0001, 1
1.90748, 0.015, -0.0566568, 1, 1.0001, 1
1.90753, 0.015, -0.0566568, 1, 1.0001, 1
