Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
9.08,19119.28,6.0750157e-05,0.28815854,0.29508945,0.04929571,1.0172965e-28,0.012824165,0.0064120824
9.082,19129.654,6.0684764e-05,0.28823107,0.2949306,0.049269173,1.0918145e-29,0.012824165,0.0064120824
9.084,19140.033,6.0619448e-05,0.2883036,0.29477182,0.04924265,3.1355935e-17,0.012824165,0.0064120824
9.086,19150.412,6.0554197e-05,0.28837612,0.29461315,0.04921614,1.1879874e-29,0.012824165,0.0064120824
9.088,19160.797,6.048902e-05,0.28844866,0.29445454,0.049189646,1.8843727e-29,0.012824165,0.0064120824
9.09,19171.18,6.042391e-05,0.28852117,0.29429603,0.049163166,3.0481297e-18,0.012824165,0.0064120824
9.092,19181.568,6.0358874e-05,0.28859368,0.2941376,0.049136702,5.8967927e-30,0.012824165,0.0064120824
9.094,19191.96,6.0293907e-05,0.2886662,0.29397926,0.04911025,5.839469e-18,0.012824165,0.0064120824
9.096,19202.354,6.022901e-05,0.2887387,0.293821,0.04908381,8.3668714e-19,0.012824165,0.0064120824
9.098,19212.75,6.016418e-05,0.2888112,0.29366285,0.049057387,2.0457322e-18,0.012824165,0.0064120824
9.1,19223.148,6.009942e-05,0.28888372,0.29350474,0.04903098,4.1988024e-19,0.012824165,0.0064120824
9.102,19233.55,6.0034734e-05,0.2889562,0.29334676,0.049004585,4.41817e-31,0.012824165,0.0064120824
9.104,19243.955,5.9970112e-05,0.28902867,0.29318884,0.048978206,3.4171647e-30,0.012824165,0.0064120824
9.106,19254.361,5.9905564e-05,0.28910115,0.293031,0.04895184,2.2454462e-30,0.012824165,0.0064120824
9.108,19264.771,5.9841084e-05,0.28917366,0.29287326,0.048925485,5.5792164e-31,0.012824165,0.0064120824
9.11,19275.182,5.9776674e-05,0.2892461,0.2927156,0.048899148,1.1195845e-29,0.012824165,0.0064120824
9.112,19285.596,5.9712333e-05,0.2893186,0.292558,0.048872825,1.1131616e-17,0.012824165,0.0064120824
9.114,19296.014,5.964806e-05,0.28939107,0.29240054,0.048846517,8.805551e-18,0.012824165,0.0064120824
9.116,19306.434,5.958386e-05,0.28946352,0.29224312,0.04882022,8.07873e-18,0.012824165,0.0064120824
9.118,19316.855,5.9519727e-05,0.289536,0.2920858,0.04879394,6.917034e-18,0.012824165,0.0064120824
9.12,19327.281,5.9455662e-05,0.28960845,0.29192856,0.048767675,9.3802225e-29,0.012824165,0.0064120824
9.122,19337.707,5.9391667e-05,0.2896809,0.2917714,0.04874142,2.3990125e-17,0.012824165,0.0064120824
9.124,19348.137,5.932774e-05,0.28975335,0.29161435,0.04871518,6.751294e-29,0.012824165,0.0064120824
9.126,19358.57,5.9263883e-05,0.2898258,0.29145736,0.048688956,1.7913702e-29,0.012824165,0.0064120824
9.128,19369.006,5.9200094e-05,0.28989825,0.29130048,0.04866275,5.0443647e-29,0.012824165,0.0064120824
9.13,19379.443,5.9136375e-05,0.28997067,0.29114366,0.048636552,3.5060004e-17,0.012824165,0.0064120824
9.132,19389.883,5.907272e-05,0.2900431,0.29098693,0.04861037,6.432295e-29,0.012824165,0.0064120824
9.134,19400.326,5.900914e-05,0.29011554,0.29083028,0.0485842,1.9068192e-17,0.012824165,0.0064120824
9.136,19410.773,5.8945625e-05,0.29018795,0.29067373,0.048558045,2.176021e-29,0.012824165,0.0064120824
9.138,19421.22,5.888218e-05,0.29026037,0.29051724,0.04853191,2.3977614e-29,0.012824165,0.0064120824
9.14,19431.672,5.88188e-05,0.2903328,0.29036087,0.048505783,2.3317475e-29,0.012824165,0.0064120824
9.142,19442.125,5.875549e-05,0.2904052,0.29020455,0.04847967,1.20679365e-29,0.012824165,0.0064120824
9.144,19452.582,5.8692247e-05,0.2904776,0.29004833,0.048453573,5.542418e-29,0.012824165,0.0064120824
9.146,19463.04,5.8629073e-05,0.29055002,0.2898922,0.04842749,7.3423214e-29,0.012824165,0.0064120824
9.148,19473.502,5.856597e-05,0.2906224,0.28973612,0.04840142,1.7370681e-29,0.012824165,0.0064120824
9.15,19483.967,5.850293e-05,0.2906948,0.28958017,0.048375364,4.3888487e-30,0.012824165,0.0064120824
9.152,19494.434,5.843996e-05,0.2907672,0.28942427,0.04834932,1.2578622e-29,0.012824165,0.0064120824
9.154,19504.9,5.837706e-05,0.29083958,0.28926846,0.048323296,1.7952916e-29,0.012824165,0.0064120824
9.156,19515.373,5.8314225e-05,0.29091197,0.28911275,0.048297282,1.1876087e-29,0.012824165,0.0064120824
9.158,19525.848,5.825146e-05,0.29098436,0.28895712,0.04827128,7.2421315e-30,0.012824165,0.0064120824
9.16,19536.324,5.8188758e-05,0.29105672,0.28880155,0.048245296,8.022436e-18,0.012824165,0.0064120824
9.162,19546.805,5.8126127e-05,0.29112908,0.2886461,0.048219323,4.8215517e-30,0.012824165,0.0064120824
9.164,19557.285,5.8063564e-05,0.29120147,0.2884907,0.048193365,2.5500368e-30,0.012824165,0.0064120824
9.166,19567.771,5.8001067e-05,0.29127383,0.2883354,0.048167422,3.8023727e-18,0.012824165,0.0064120824
9.168,19578.26,5.7938636e-05,0.2913462,0.2881802,0.048141494,1.3292269e-18,0.012824165,0.0064120824
9.17,19588.748,5.7876274e-05,0.29141855,0.28802505,0.048115578,2.734033e-19,0.012824165,0.0064120824
9.172,19599.242,5.7813977e-05,0.29149088,0.28787,0.048089676,9.204577e-19,0.012824165,0.0064120824
9.174,19609.736,5.775175e-05,0.29156324,0.28771505,0.04806379,9.31365e-31,0.012824165,0.0064120824
9.176,19620.234,5.7689587e-05,0.29163557,0.28756016,0.048037913,7.868108e-30,0.012824165,0.0064120824
9.178,19630.734,5.7627494e-05,0.29170793,0.28740534,0.048012055,9.676071e-31,0.012824165,0.0064120824
9.18,19641.238,5.7565463e-05,0.29178026,0.28725064,0.04798621,9.485369e-30,0.012824165,0.0064120824
9.182,19651.742,5.7503505e-05,0.2918526,0.287096,0.047960375,7.183566e-30,0.012824165,0.0064120824
9.184,19662.252,5.7441608e-05,0.29192492,0.28694144,0.04793456,2.2487754e-29,0.012824165,0.0064120824
9.186,19672.762,5.737978e-05,0.29199722,0.28678697,0.047908753,1.4671851e-17,0.012824165,0.0064120824
9.188,19683.275,5.731802e-05,0.29206955,0.2866326,0.047882963,5.10943e-29,0.012824165,0.0064120824
