Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sCRX.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.442,0.59924537,0.40000004,-2.123976e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.444,0.59924537,0.40000004,-2.1312787e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.446,0.59924537,0.40000004,-2.1385584e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.448,0.59924537,0.40000004,-2.1458157e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.45,0.59924537,0.40000004,-2.1530502e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.452,0.59924537,0.40000004,-2.160262e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.454,0.59924537,0.40000004,-2.1674513e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.456,0.59924537,0.40000004,-2.1746178e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.458,0.5992453,0.40000004,-2.1817617e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.46,0.5992453,0.40000004,-2.1888829e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.462,0.5992453,0.40000004,-2.1959814e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.464,0.5992453,0.40000004,-2.2030573e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.466,0.5992453,0.40000004,-2.2101103e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.468,0.5992453,0.40000004,-2.217141e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.47,0.5992453,0.40000004,-2.2241489e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.472,0.5992453,0.40000004,-2.231134e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.474,0.5992453,0.40000004,-2.2380966e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.476,0.5992453,0.40000004,-2.2450364e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.478,0.5992453,0.40000004,-2.2519537e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.48,0.5992453,0.40000004,-2.2588482e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.482,0.5992453,0.40000004,-2.26572e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.484,0.5992453,0.40000004,-2.2725695e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.486,0.5992453,0.40000004,-2.279396e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.488,0.5992453,0.40000004,-2.2862e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
