Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eSDC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.46,0.60045767,0.40000004,-2.036052e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.462,0.60045767,0.40000004,-2.0425666e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.464,0.60045767,0.40000004,-2.0490594e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.466,0.60045767,0.40000004,-2.05553e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.468,0.60045767,0.40000004,-2.0619788e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.47,0.60045767,0.40000004,-2.0684057e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.472,0.60045767,0.40000004,-2.0748105e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.474,0.60045767,0.40000004,-2.0811934e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.476,0.60045767,0.40000004,-2.0875544e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.478,0.60045767,0.40000004,-2.0938935e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.48,0.60045767,0.40000004,-2.1002107e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.482,0.60045767,0.40000004,-2.1065056e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
