Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,pSS2A.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.512,2.4260683,0.0015976856,0.023006452,0.1,0.25280234,2.6488196e-32,0.012824165,0.0064120824
2.514,2.4405522,0.0015939508,0.023097431,0.1,0.25250667,2.6411377e-32,0.012824165,0.0064120824
2.516,2.4550934,0.0015902258,0.023188403,0.1,0.25221148,7.491174e-20,0.012824165,0.0064120824
2.518,2.4696915,0.0015865109,0.023279369,0.1,0.2519167,9.543101e-32,0.012824165,0.0064120824
2.52,2.484347,0.0015828056,0.023370326,0.1,0.25162235,1.977672e-31,0.012824165,0.0064120824
2.522,2.4990597,0.0015791103,0.023461277,0.1,0.25132844,3.2276383e-31,0.012824165,0.0064120824
2.524,2.5138295,0.0015754246,0.023552218,0.1,0.25103498,1.0626561e-31,0.012824165,0.0064120824
2.526,2.5286562,0.0015717486,0.023643155,0.1,0.25074193,1.7262032e-31,0.012824165,0.0064120824
2.528,2.5435402,0.0015680823,0.023734083,0.1,0.25044933,3.0186237e-19,0.012824165,0.0064120824
2.53,2.5584815,0.0015644255,0.023825005,0.1,0.25015712,5.3931716e-32,0.012824165,0.0064120824
2.532,2.5734797,0.0015607785,0.023915919,0.1,0.24986535,2.7528429e-19,0.012824165,0.0064120824
2.534,2.588535,0.0015571408,0.024006825,0.1,0.24957402,2.4234455e-31,0.012824165,0.0064120824
2.536,2.6036475,0.0015535126,0.024097724,0.1,0.24928309,3.642159e-19,0.012824165,0.0064120824
2.538,2.618817,0.001549894,0.024188617,0.1,0.24899259,9.4989034e-20,0.012824165,0.0064120824
2.54,2.6340437,0.0015462846,0.024279501,0.1,0.2487025,2.8482496e-19,0.012824165,0.0064120824
2.542,2.6493275,0.0015426847,0.02437038,0.1,0.24841282,1.1089112e-31,0.012824165,0.0064120824
2.544,2.6646686,0.001539094,0.024461249,0.1,0.24812356,1.2563737e-32,0.012824165,0.0064120824
2.546,2.6800666,0.0015355127,0.024552112,0.1,0.24783471,1.9418267e-19,0.012824165,0.0064120824
2.548,2.6955216,0.0015319407,0.024642969,0.1,0.24754627,2.180926e-32,0.012824165,0.0064120824
2.55,2.7110338,0.0015283778,0.024733817,0.1,0.24725825,1.853608e-20,0.012824165,0.0064120824
2.552,2.726603,0.001524824,0.024824658,0.1,0.24697061,4.6249884e-32,0.012824165,0.0064120824
2.554,2.7422295,0.001521279,0.024915494,0.1,0.24668336,1.019588e-19,0.012824165,0.0064120824
2.556,2.7579129,0.001517743,0.02500632,0.1,0.24639651,4.3610337e-31,0.012824165,0.0064120824
2.558,2.7736533,0.0015142161,0.02509714,0.1,0.24611005,1.393713e-19,0.012824165,0.0064120824
2.56,2.7894506,0.0015106981,0.025187952,0.1,0.245824,1.3931791e-19,0.012824165,0.0064120824
2.562,2.8053052,0.0015071891,0.025278758,0.1,0.24553834,1.0497083e-31,0.012824165,0.0064120824
2.564,2.821217,0.001503689,0.025369555,0.1,0.24525306,1.7199126e-31,0.012824165,0.0064120824
2.566,2.8371856,0.0015001978,0.025460346,0.1,0.24496819,3.5558436e-31,0.012824165,0.0064120824
