Time(s) " gENSAL.delta" " gENSAL.PELEC" " gENSAL.PMECH" " gENSAL.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
0.744999 " 36.6408" " 0.4" " 0.4" " 1.05492e-08" " 1" " 0.991994" " 1" " 0.995984"
0.749999 " 36.6408" " 0.4" " 0.4" " 1.06188e-08" " 1" " 0.991994" " 1" " 0.995984"
0.754999 " 36.6408" " 0.4" " 0.4" " 1.06884e-08" " 1" " 0.991994" " 1" " 0.995984"
0.759999 " 36.6408" " 0.4" " 0.4" " 1.07581e-08" " 1" " 0.991994" " 1" " 0.995984"
0.764999 " 36.6408" " 0.4" " 0.4" " 1.08277e-08" " 1" " 0.991994" " 1" " 0.995984"
0.769999 " 36.6408" " 0.4" " 0.4" " 1.08973e-08" " 1" " 0.991994" " 1" " 0.995984"
0.774999 " 36.6408" " 0.4" " 0.4" " 1.0967e-08" " 1" " 0.991994" " 1" " 0.995984"
0.779999 " 36.6408" " 0.4" " 0.4" " 1.10366e-08" " 1" " 0.991994" " 1" " 0.995984"
0.784999 " 36.6408" " 0.4" " 0.4" " 1.11062e-08" " 1" " 0.991994" " 1" " 0.995984"
0.789999 " 36.6408" " 0.4" " 0.4" " 1.11759e-08" " 1" " 0.991994" " 1" " 0.995984"
0.794999 " 36.6408" " 0.4" " 0.4" " 1.12455e-08" " 1" " 0.991994" " 1" " 0.995984"
0.799999 " 36.6408" " 0.4" " 0.4" " 1.13151e-08" " 1" " 0.991994" " 1" " 0.995984"
0.804999 " 36.6408" " 0.4" " 0.4" " 1.13847e-08" " 1" " 0.991994" " 1" " 0.995984"
0.809999 " 36.6408" " 0.4" " 0.4" " 1.14544e-08" " 1" " 0.991994" " 1" " 0.995984"
0.814999 " 36.6408" " 0.4" " 0.4" " 1.1524e-08" " 1" " 0.991994" " 1" " 0.995984"
0.819999 " 36.6408" " 0.4" " 0.4" " 1.15936e-08" " 1" " 0.991994" " 1" " 0.995984"
0.824999 " 36.6408" " 0.4" " 0.4" " 1.16633e-08" " 1" " 0.991994" " 1" " 0.995984"
0.829999 " 36.6408" " 0.4" " 0.4" " 1.17329e-08" " 1" " 0.991994" " 1" " 0.995984"
0.834999 " 36.6408" " 0.4" " 0.4" " 1.18025e-08" " 1" " 0.991994" " 1" " 0.995984"
0.839999 " 36.6408" " 0.4" " 0.4" " 1.18722e-08" " 1" " 0.991994" " 1" " 0.995984"
0.844999 " 36.6408" " 0.4" " 0.4" " 1.19418e-08" " 1" " 0.991994" " 1" " 0.995984"
0.849999 " 36.6408" " 0.4" " 0.4" " 1.20114e-08" " 1" " 0.991994" " 1" " 0.995984"
0.854999 " 36.6408" " 0.4" " 0.4" " 1.20811e-08" " 1" " 0.991994" " 1" " 0.995984"
0.859999 " 36.6408" " 0.4" " 0.4" " 1.21507e-08" " 1" " 0.991994" " 1" " 0.995984"
0.864999 " 36.6408" " 0.4" " 0.4" " 1.22203e-08" " 1" " 0.991994" " 1" " 0.995984"
0.869999 " 36.6408" " 0.4" " 0.4" " 1.229e-08" " 1" " 0.991994" " 1" " 0.995984"
0.874999 " 36.6408" " 0.4" " 0.4" " 1.23596e-08" " 1" " 0.991994" " 1" " 0.995984"
0.879999 " 36.6408" " 0.4" " 0.4" " 1.24292e-08" " 1" " 0.991994" " 1" " 0.995984"
0.884999 " 36.6408" " 0.4" " 0.4" " 1.24988e-08" " 1" " 0.991994" " 1" " 0.995984"
0.889999 " 36.6408" " 0.4" " 0.4" " 1.25685e-08" " 1" " 0.991994" " 1" " 0.995984"
0.894999 " 36.6408" " 0.4" " 0.4" " 1.26381e-08" " 1" " 0.991994" " 1" " 0.995984"
0.899999 " 36.6408" " 0.4" " 0.4" " 1.27077e-08" " 1" " 0.991994" " 1" " 0.995984"
0.904999 " 36.6408" " 0.4" " 0.4" " 1.27774e-08" " 1" " 0.991994" " 1" " 0.995984"
0.909999 " 36.6408" " 0.4" " 0.4" " 1.2847e-08" " 1" " 0.991994" " 1" " 0.995984"
0.914999 " 36.6408" " 0.4" " 0.4" " 1.29166e-08" " 1" " 0.991994" " 1" " 0.995984"
0.919999 " 36.6408" " 0.4" " 0.4" " 1.29863e-08" " 1" " 0.991994" " 1" " 0.995984"
0.924999 " 36.6408" " 0.4" " 0.4" " 1.30559e-08" " 1" " 0.991994" " 1" " 0.995984"
